#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,First Ability,Second Ability,Hidden Ability,Group 1,Group 2
440,Happiny,Normal,,220,100,5,5,15,65,30,4,Natural Cure,Serene Grace,Friend Guard,Undiscovered,
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,Keen Eye,Tangled Feet,Big Pecks,Flying,
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,Pressure,,Infiltrator,Amorphous,
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,Sand Veil,,Rough Skin,Dragon,Monster
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,Sand Veil,,Rough Skin,Dragon,Monster
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,Sand Veil,,Rough Skin,Dragon,Monster
445,Garchomp Mega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,Sand Force,,,Dragon,Monster
446,Munchlax,Normal,,390,135,85,40,40,85,5,4,Pickup,Thick Fat,Gluttony,Undiscovered,
447,Riolu,Fighting,,285,40,70,40,35,40,60,4,Steadfast,Inner Focus,Prankster,Undiscovered,
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,Steadfast,Inner Focus,Justified,Human-Like,Field
448,Lucario Mega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,Adaptability,,,Human-Like,Field
449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,Sand Stream,,Sand Force,Field,
450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,Sand Stream,,Sand Force,Field,
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,Battle Armor,Sniper,Keen Eye,Water 3,Bug
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,Battle Armor,Sniper,Keen Eye,Water 3,Bug
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,Anticipation,Dry Skin,Poison Touch,Human-Like,
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,Anticipation,Dry Skin,Poison Touch,Human-Like,
455,Carnivine,Grass,,454,74,100,72,90,72,46,4,Levitate,,,Grass,
456,Finneon,Water,,330,49,49,56,49,61,66,4,Swift Swim,Storm Drain,Water Veil,Water 2,
457,Lumineon,Water,,460,69,69,76,69,86,91,4,Swift Swim,Storm Drain,Water Veil,Water 2,
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,Swift Swim,Water Absorb,Water Veil,Undiscovered,
459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,Snow Warning,,Soundproof,Monster,Grass
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,Snow Warning,,Soundproof,Monster,Grass
460,Abomasnow Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,Snow Warning,,,Monster,Grass
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,Pressure,,Pickpocket,Field,
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,Magnet Pull,Sturdy,Analytic,Mineral,
463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,Own Tempo,Oblivious,Cloud Nine,Monster,
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,Lightning Rod,Solid Rock,Reckless,Monster,Field
465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,Chlorophyll,Leaf Guard,Regenerator,Grass,
466,Electivire,Electric,,540,75,123,67,95,85,95,4,Motor Drive,,Vital Spirit,Human-Like,
467,Magmortar,Fire,,540,75,95,67,125,95,83,4,Flame Body,,Vital Spirit,Human-Like,
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,Hustle,Serene Grace,Super Luck,Fairy,Flying
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,Speed Boost,Tinted Lens,Frisk,Bug,
470,Leafeon,Grass,,525,65,110,130,60,65,95,4,Leaf Guard,,Chlorophyll,Field,
471,Glaceon,Ice,,525,65,60,110,130,95,65,4,Snow Cloak,,Ice Body,Field,
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,Hyper Cutter,Sand Veil,Poison Heal,Bug,
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,Oblivious,Snow Cloak,Thick Fat,Field,
474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,Adaptability,Download,Analytic,Mineral,
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,Steadfast,,Justified,Human-Like,Amorphous
475,Gallade Mega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,Inner Focus,,,Amorphous,
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,Sturdy,Magnet Pull,Sand Force,Mineral,
477,Dusknoir,Ghost,,525,45,100,135,65,135,45,4,Pressure,,Frisk,Amorphous,
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,Snow Cloak,,Cursed Body,Fairy,Mineral
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,Levitate,,,Amorphous,
479,Rotom Heat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,Levitate,,,Amorphous,
479,Rotom Wash Rotom,Electric,Water,520,50,65,107,105,107,86,4,Levitate,,,Amorphous,
479,Rotom Frost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,Levitate,,,Amorphous,
479,Rotom Fan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,Levitate,,,Amorphous,
479,Rotom Mow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,Levitate,,,Amorphous,
480,Uxie,Psychic,,580,75,75,130,75,130,95,4,Levitate,,,Undiscovered,
481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,Levitate,,,Undiscovered,
482,Azelf,Psychic,,580,75,125,70,125,70,115,4,Levitate,,,Undiscovered,
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,Pressure,,Telepathy,Undiscovered,
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,Pressure,,Telepathy,Undiscovered,
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,Flash Fire,,Flame Body,Undiscovered,
486,Regigigas,Normal,,670,110,160,110,80,110,100,4,Slow Start,,,Undiscovered,
487,Giratina Altered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,Pressure,,Telepathy,Undiscovered,
487,Giratina Origin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,Levitate,,,Undiscovered,
488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,Levitate,,,Undiscovered,
489,Phione,Water,,480,80,80,80,80,80,80,4,Hydration,,,Fairy,Water 1
490,Manaphy,Water,,600,100,100,100,100,100,100,4,Hydration,,,Fairy,Water 1
491,Darkrai,Dark,,600,70,90,90,135,90,125,4,Bad Dreams,,,Undiscovered,
492,Shaymin Land Forme,Grass,,600,100,100,100,100,100,100,4,Natural Cure,,,Undiscovered,
492,Shaymin Sky Forme,Grass,Flying,600,100,103,75,120,75,127,4,Serene Grace,,,Undiscovered,
493,Arceus,Normal,,720,120,120,120,120,120,120,4,Multitype,,,Undiscovered,
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,Victory Star,,,Undiscovered,
495,Snivy,Grass,,308,45,45,55,45,55,63,5,Overgrow,,Contrary,Grass,Field
496,Servine,Grass,,413,60,60,75,60,75,83,5,Overgrow,,Contrary,Grass,Field
497,Serperior,Grass,,528,75,75,95,75,95,113,5,Overgrow,,Contrary,Grass,Field
498,Tepig,Fire,,308,65,63,45,45,45,45,5,Blaze,,Thick Fat,Field,
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,Blaze,,Thick Fat,Field,
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,Blaze,,Reckless,Field,
501,Oshawott,Water,,308,55,55,45,63,45,45,5,Torrent,,Shell Armor,Field,
502,Dewott,Water,,413,75,75,60,83,60,60,5,Torrent,,Shell Armor,Field,
503,Samurott,Water,,528,95,100,85,108,70,70,5,Torrent,,Shell Armor,Field,
504,Patrat,Normal,,255,45,55,39,35,39,42,5,Run Away,Keen Eye,Analytic,Field,
505,Watchog,Normal,,420,60,85,69,60,69,77,5,Illuminate,Keen Eye,Analytic,Field,
506,Lillipup,Normal,,275,45,60,45,25,45,55,5,Vital Spirit,Pickup,Run Away,Field,
507,Herdier,Normal,,370,65,80,65,35,65,60,5,Intimidate,Sand Rush,Scrappy,Field,
508,Stoutland,Normal,,500,85,110,90,45,90,80,5,Intimidate,Sand Rush,Scrappy,Field,
509,Purrloin,Dark,,281,41,50,37,50,37,66,5,Limber,Unburden,Prankster,Field,
510,Liepard,Dark,,446,64,88,50,88,50,106,5,Limber,Unburden,Prankster,Field,
511,Pansage,Grass,,316,50,53,48,53,48,64,5,Gluttony,,Overgrow,Field,
512,Simisage,Grass,,498,75,98,63,98,63,101,5,Gluttony,,Overgrow,Field,
513,Pansear,Fire,,316,50,53,48,53,48,64,5,Gluttony,,Blaze,Field,
514,Simisear,Fire,,498,75,98,63,98,63,101,5,Gluttony,,Blaze,Field,
515,Panpour,Water,,316,50,53,48,53,48,64,5,Gluttony,,Torrent,Field,
516,Simipour,Water,,498,75,98,63,98,63,101,5,Gluttony,,Torrent,Field,
517,Munna,Psychic,,292,76,25,45,67,55,24,5,Forewarn,Synchronize,Telepathy,Field,
518,Musharna,Psychic,,487,116,55,85,107,95,29,5,Forewarn,Synchronize,Telepathy,Field,
519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,Big Pecks,Super Luck,Rivalry,Flying,
520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,Big Pecks,Super Luck,Rivalry,Flying,
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,Big Pecks,Super Luck,Rivalry,Flying,
522,Blitzle,Electric,,295,45,60,32,50,32,76,5,Lightning Rod,Motor Drive,Sap Sipper,Field,
523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,Lightning Rod,Motor Drive,Sap Sipper,Field,
524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,Sturdy,Weak Armor,Sand Force,Mineral,
525,Boldore,Rock,,390,70,105,105,50,40,20,5,Sturdy,Weak Armor,Sand Force,Mineral,
526,Gigalith,Rock,,515,85,135,130,60,80,25,5,Sturdy,Sand Stream,Sand Force,Mineral,
527,Woobat,Psychic,Flying,323,65,45,43,55,43,72,5,Unaware,Klutz,Simple,Flying,Field
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,Unaware,Klutz,Simple,Flying,Field
529,Drilbur,Ground,,328,60,85,40,30,45,68,5,Sand Rush,Sand Force,Mold Breaker,Field,
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,Sand Rush,Sand Force,Mold Breaker,Field,
531,Audino,Normal,,445,103,60,86,60,86,50,5,Healer,Regenerator,Klutz,Fairy,
531,Audino Mega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,Healer,,,Fairy,
532,Timburr,Fighting,,305,75,80,55,25,35,35,5,Guts,Sheer Force,Iron Fist,Human-Like,
533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,Guts,Sheer Force,Iron Fist,Human-Like,
534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,Guts,Sheer Force,Iron Fist,Human-Like,
535,Tympole,Water,,294,50,50,40,50,40,64,5,Swift Swim,Hydration,Water Absorb,Water 1,
536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,Swift Swim,Hydration,Water Absorb,Water 1,
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,Swift Swim,Poison Touch,Water Absorb,Water 1,
538,Throh,Fighting,,465,120,100,85,30,85,45,5,Guts,Inner Focus,Mold Breaker,Human-Like,
539,Sawk,Fighting,,465,75,125,75,30,75,85,5,Sturdy,Inner Focus,Mold Breaker,Human-Like,
540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,Swarm,Chlorophyll,Overcoat,Bug,
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,Leaf Guard,Chlorophyll,Overcoat,Bug,
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,Swarm,Chlorophyll,Overcoat,Bug,
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,Poison Point,Swarm,Speed Boost,Bug,
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,Poison Point,Swarm,Speed Boost,Bug,
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,Poison Point,Swarm,Speed Boost,Bug,
546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,Prankster,Infiltrator,Chlorophyll,Fairy,Grass
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,Prankster,Infiltrator,Chlorophyll,Fairy,Grass
548,Petilil,Grass,,280,45,35,50,70,50,30,5,Chlorophyll,Own Tempo,Leaf Guard,Grass,
549,Lilligant,Grass,,480,70,60,75,110,75,90,5,Chlorophyll,Own Tempo,Leaf Guard,Grass,
550,Basculin Red-Striped Form,Water,,460,70,92,65,80,55,98,5,Reckless,Adaptability,Mold Breaker,Water 2,
550,Basculin Blue-Striped Form,Water,,460,70,92,65,80,55,98,5,Rock Head,Adaptability,Mold Breaker,Water 2,
551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,Intimidate,Moxie,Anger Point,Field,
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,Intimidate,Moxie,Anger Point,Field,
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,Intimidate,Moxie,Anger Point,Field,
554,Darumaka,Fire,,315,70,90,45,15,45,50,5,Hustle,,Inner Focus,Field,
554,Darumaka Galarian Form,Ice,,315,70,90,45,15,45,50,5,Hustle,,Inner Focus,Field,
555,Darmanitan Standard Mode,Fire,,480,105,140,55,30,55,95,5,Sheer Force,,Zen Mode,Field,
555,Darmanitan Zen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,,,Zen Mode,Field,
555,Darmanitan Galarian Standard Mode,Ice,,480,105,140,55,30,55,95,5,Gorilla Tactics,,Zen Mode,Field,
555,Darmanitan Galarian Zen Mode,Ice,Fire,540,105,160,55,30,55,135,5,,,Zen Mode,Field,
556,Maractus,Grass,,461,75,86,67,106,67,60,5,Water Absorb,Chlorophyll,Storm Drain,Grass,
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,Sturdy,Shell Armor,Weak Armor,Mineral,Bug
558,Crustle,Bug,Rock,485,70,105,125,65,75,45,5,Sturdy,Shell Armor,Weak Armor,Mineral,Bug
559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,Shed Skin,Moxie,Intimidate,Dragon,Field
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,Shed Skin,Moxie,Intimidate,Dragon,Field
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,Wonder Skin,Magic Guard,Tinted Lens,Flying,
562,Yamask,Ghost,,303,38,30,85,55,65,30,5,Mummy,,,Mineral,Amorphous
562,Yamask Galarian Form,Ground,Ghost,303,38,55,85,30,65,30,5,Wandering Spirit,,,Mineral,Amorphous
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,Mummy,,,Mineral,Amorphous
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,Solid Rock,Sturdy,Swift Swim,Water 3,Water 1
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,Solid Rock,Sturdy,Swift Swim,Water 3,Water 1
566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,Defeatist,,,Water 3,Flying
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,Defeatist,,,Water 3,Flying
568,Trubbish,Poison,,329,50,50,62,40,62,65,5,Stench,Sticky Hold,Aftermath,Mineral,
569,Garbodor,Poison,,474,80,95,82,60,82,75,5,Stench,Weak Armor,Aftermath,Mineral,
570,Zorua,Dark,,330,40,65,40,80,40,65,5,Illusion,,,Field,
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,Illusion,,,Field,
572,Minccino,Normal,,300,55,50,40,40,40,75,5,Cute Charm,Technician,Skill Link,Field,
573,Cinccino,Normal,,470,75,95,60,65,60,115,5,Cute Charm,Technician,Skill Link,Field,
574,Gothita,Psychic,,290,45,30,50,55,65,45,5,Frisk,Competitive,Shadow Tag,Human-Like,
575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,Frisk,Competitive,Shadow Tag,Human-Like,
576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,Frisk,Competitive,Shadow Tag,Human-Like,
577,Solosis,Psychic,,290,45,30,40,105,50,20,5,Overcoat,Magic Guard,Regenerator,Amorphous,
578,Duosion,Psychic,,370,65,40,50,125,60,30,5,Overcoat,Magic Guard,Regenerator,Amorphous,
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,Overcoat,Magic Guard,Regenerator,Amorphous,
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,Keen Eye,Big Pecks,Hydration,Flying,Water 1
581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,Keen Eye,Big Pecks,Hydration,Flying,Water 1
582,Vanillite,Ice,,305,36,50,50,65,60,44,5,Ice Body,Snow Cloak,Weak Armor,Mineral,
583,Vanillish,Ice,,395,51,65,65,80,75,59,5,Ice Body,Snow Cloak,Weak Armor,Mineral,
584,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,Ice Body,Snow Warning,Weak Armor,Mineral,
585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,Chlorophyll,Sap Sipper,Serene Grace,Field,
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,Chlorophyll,Sap Sipper,Serene Grace,Field,
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,Static,,Motor Drive,Field,
588,Karrablast,Bug,,315,50,75,45,40,45,60,5,Swarm,Shed Skin,No Guard,Bug,
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,Swarm,Shell Armor,Overcoat,Bug,
590,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,Effect Spore,,Regenerator,Grass,
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,Effect Spore,,Regenerator,Grass,
592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,Water Absorb,Cursed Body,Damp,Amorphous,
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,Water Absorb,Cursed Body,Damp,Amorphous,
594,Alomomola,Water,,470,165,75,80,40,45,65,5,Healer,Hydration,Regenerator,Water 2,Water 1
595,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,Compound Eyes,Unnerve,Swarm,Bug,
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,Compound Eyes,Unnerve,Swarm,Bug,
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,Iron Barbs,,,Mineral,Grass
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,Iron Barbs,,Anticipation,Mineral,Grass
599,Klink,Steel,,300,40,55,70,45,60,30,5,Plus,Minus,Clear Body,Mineral,
600,Klang,Steel,,440,60,80,95,70,85,50,5,Plus,Minus,Clear Body,Mineral,
601,Klinklang,Steel,,520,60,100,115,70,85,90,5,Plus,Minus,Clear Body,Mineral,
602,Tynamo,Electric,,275,35,55,40,45,40,60,5,Levitate,,,Amorphous,
603,Eelektrik,Electric,,405,65,85,70,75,70,40,5,Levitate,,,Amorphous,
604,Eelektross,Electric,,515,85,115,80,105,80,50,5,Levitate,,,Amorphous,
605,Elgyem,Psychic,,335,55,55,55,85,55,30,5,Telepathy,Synchronize,Analytic,Human-Like,
606,Beheeyem,Psychic,,485,75,75,75,125,95,40,5,Telepathy,Synchronize,Analytic,Human-Like,
607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,Flash Fire,Flame Body,Infiltrator,Amorphous,
608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,Flash Fire,Flame Body,Infiltrator,Amorphous,
609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,Flash Fire,Flame Body,Infiltrator,Amorphous,
610,Axew,Dragon,,320,46,87,60,30,40,57,5,Rivalry,Mold Breaker,Unnerve,Dragon,Monster
611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,Rivalry,Mold Breaker,Unnerve,Dragon,Monster
612,Haxorus,Dragon,,540,76,147,90,60,70,97,5,Rivalry,Mold Breaker,Unnerve,Dragon,Monster
613,Cubchoo,Ice,,305,55,70,40,60,40,40,5,Snow Cloak,Slush Rush,Rattled,Field,
614,Beartic,Ice,,505,95,130,80,70,80,50,5,Snow Cloak,Slush Rush,Swift Swim,Field,
615,Cryogonal,Ice,,515,80,50,50,95,135,105,5,Levitate,,,Mineral,
616,Shelmet,Bug,,305,50,40,85,40,65,25,5,Hydration,Shell Armor,Overcoat,Bug,
617,Accelgor,Bug,,495,80,70,40,100,60,145,5,Hydration,Sticky Hold,Unburden,Bug,
618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,Static,Limber,Sand Veil,Amorphous,Water 1
618,Stunfisk Galarian Form,Ground,Steel,471,109,81,99,66,84,32,5,Mimicry,,,Amorphous,Water 1
619,Mienfoo,Fighting,,350,45,85,50,55,50,65,5,Inner Focus,Regenerator,Reckless,Human-Like,Field
620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,Inner Focus,Regenerator,Reckless,Human-Like,Field
621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,Rough Skin,Sheer Force,Mold Breaker,Dragon,Monster
622,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,Iron Fist,Klutz,No Guard,Mineral,
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,Iron Fist,Klutz,No Guard,Mineral,
624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,Defiant,Inner Focus,Pressure,Human-Like,
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,Defiant,Inner Focus,Pressure,Human-Like,
626,Bouffalant,Normal,,490,95,110,95,40,95,55,5,Reckless,Sap Sipper,Soundproof,Field,
627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,Keen Eye,Sheer Force,Hustle,Flying,
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,Keen Eye,Sheer Force,Defiant,Flying,
629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,Big Pecks,Overcoat,Weak Armor,Flying,
630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,Big Pecks,Overcoat,Weak Armor,Flying,
631,Heatmor,Fire,,484,85,97,66,105,66,65,5,Gluttony,Flash Fire,White Smoke,Field,
632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,Swarm,Hustle,Truant,Bug,
633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,Hustle,,,Dragon,
634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,Hustle,,,Dragon,
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,Levitate,,,Dragon,
636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,Flame Body,,Swarm,Bug,
637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,Flame Body,,Swarm,Bug,
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,Justified,,,Undiscovered,
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,Justified,,,Undiscovered,
640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,Justified,,,Undiscovered,
641,Tornadus Incarnate Forme,Flying,,580,79,115,70,125,80,111,5,Prankster,,Defiant,Undiscovered,
641,Tornadus Therian Forme,Flying,,580,79,100,80,110,90,121,5,Regenerator,,,Undiscovered,
642,Thundurus Incarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,Prankster,,Defiant,Undiscovered,
642,Thundurus Therian Forme,Electric,Flying,580,79,105,70,145,80,101,5,Volt Absorb,,,Undiscovered,
643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,Turboblaze,,,Undiscovered,
644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,Teravolt,,,Undiscovered,
645,Landorus Incarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,Sand Force,,Sheer Force,Undiscovered,
645,Landorus Therian Forme,Ground,Flying,600,89,145,90,105,80,91,5,Intimidate,,,Undiscovered,
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,Pressure,,,Undiscovered,
646,Kyurem Black Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,Teravolt,,,Undiscovered,
646,Kyurem White Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,Turboblaze,,,Undiscovered,
647,Keldeo Ordinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,Justified,,,Undiscovered,
647,Keldeo Resolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,Justified,,,Undiscovered,
648,Meloetta Aria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,Serene Grace,,,Undiscovered,
648,Meloetta Pirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,Serene Grace,,,Undiscovered,
649,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,Download,,,Undiscovered,
650,Chespin,Grass,,313,56,61,65,48,45,38,6,Overgrow,,Bulletproof,Field,
651,Quilladin,Grass,,405,61,78,95,56,58,57,6,Overgrow,,Bulletproof,Field,
652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,Overgrow,,Bulletproof,Field,
653,Fennekin,Fire,,307,40,45,40,62,60,60,6,Blaze,,Magician,Field,
654,Braixen,Fire,,409,59,59,58,90,70,73,6,Blaze,,Magician,Field,
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,Blaze,,Magician,Field,
656,Froakie,Water,,314,41,56,40,62,44,71,6,Torrent,,Protean,Water 1,
657,Frogadier,Water,,405,54,63,52,83,56,97,6,Torrent,,Protean,Water 1,
658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,Torrent,,Protean,Water 1,
658,Greninja Ash-Greninja,Water,Dark,640,72,145,67,153,71,132,6,Battle Bond,,,Undiscovered,
659,Bunnelby,Normal,,237,38,36,38,32,36,57,6,Pickup,Cheek Pouch,Huge Power,Field,
660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,Pickup,Cheek Pouch,Huge Power,Field,
661,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,Big Pecks,,Gale Wings,Flying,
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,Flame Body,,Gale Wings,Flying,
663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,Flame Body,,Gale Wings,Flying,
664,Scatterbug,Bug,,200,38,35,40,27,25,35,6,Shield Dust,Compound Eyes,Friend Guard,Bug,
665,Spewpa,Bug,,213,45,22,60,27,30,29,6,Shed Skin,,Friend Guard,Bug,
666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,Shield Dust,Compound Eyes,Friend Guard,Bug,
667,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,Rivalry,Unnerve,Moxie,Field,
668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,Rivalry,Unnerve,Moxie,Field,
669,Flabébé,Fairy,,303,44,38,39,61,79,42,6,Flower Veil,,Symbiosis,Fairy,
670,Floette,Fairy,,371,54,45,47,75,98,52,6,Flower Veil,,Symbiosis,Fairy,
671,Florges,Fairy,,552,78,65,68,112,154,75,6,Flower Veil,,Symbiosis,Fairy,
672,Skiddo,Grass,,350,66,65,48,62,57,52,6,Sap Sipper,,Grass Pelt,Field,
673,Gogoat,Grass,,531,123,100,62,97,81,68,6,Sap Sipper,,Grass Pelt,Field,
674,Pancham,Fighting,,348,67,82,62,46,48,43,6,Iron Fist,Mold Breaker,Scrappy,Human-Like,Field
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,Iron Fist,Mold Breaker,Scrappy,Human-Like,Field
